treat,time,block,y
PD1,30,1,0.1
PD1,30,2,0.3
PD1,30,3,0.1
PD1,30,4,0.1
PD1,40,1,0.3
PD1,40,2,0.38
PD1,40,3,0.36
PD1,40,4,0.37
PD1,50,1,0.57
PD1,50,2,0.52
PD1,50,3,0.5
PD1,50,4,0.5
PD1,60,1,0.56
PD1,60,2,0.56
PD1,60,3,0.53
PD1,60,4,0.55
PD2,30,1,0.1
PD2,30,2,0.12
PD2,30,3,0.07
PD2,30,4,0.1
PD2,40,1,0.33
PD2,40,2,0.3
PD2,40,3,0.28
PD2,40,4,0.34
PD2,50,1,0.46
PD2,50,2,0.44
PD2,50,3,0.45
PD2,50,4,0.47
PD2,60,1,0.45
PD2,60,2,0.47
PD2,60,3,0.51
PD2,60,4,0.5
PD3,30,1,0.07
PD3,30,2,0.08
PD3,30,3,0.05
PD3,30,4,0.1
PD3,40,1,0.22
PD3,40,2,0.25
PD3,40,3,0.22
PD3,40,4,0.26
PD3,50,1,0.38
PD3,50,2,0.35
PD3,50,3,0.38
PD3,50,4,0.45
PD3,60,1,0.45
PD3,60,2,0.38
PD3,60,3,0.44
PD3,60,4,0.38
PD4,30,1,0.03
PD4,30,2,0.01
PD4,30,3,0.06
PD4,30,4,0.03
PD4,40,1,0.12
PD4,40,2,0.12
PD4,40,3,0.11
PD4,40,4,0.13
PD4,50,1,0.3
PD4,50,2,0.2
PD4,50,3,0.22
PD4,50,4,0.16
PD4,60,1,0.24
PD4,60,2,0.3
PD4,60,3,0.26
PD4,60,4,0.41
